,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
2014:03,2.999337796,2.892154995,2.810311375,2.93358176,2.892945019,3.948069197,0.107932733,3.227887341,2.846265278,1.673657879,3.549001425
2014:04,2.704355401,3.065343763,3.238938784,2.710768332,2.925903824,3.549001425,3.948069197,0.107932733,3.227887341,2.846265278,2.642162052
2015:01,2.652316668,2.764412445,3.125791882,3.117675962,3.234359892,2.642162052,3.549001425,3.948069197,0.107932733,3.227887341,0.248163988
2015:02,2.477206465,3.029914192,3.093145687,3.109245826,3.137052337,0.248163988,2.642162052,3.549001425,3.948069197,0.107932733,2.321939273
2015:03,2.712272161,3.122492446,2.81791625,2.790256148,2.962193663,2.321939273,0.248163988,2.642162052,3.549001425,3.948069197,1.492336949
2015:04,2.619999471,2.821185341,2.900488298,2.758136417,2.992425518,1.492336949,2.321939273,0.248163988,2.642162052,3.549001425,0.691440814
2016:01,2.021628766,2.513626613,2.803218252,2.421550136,2.938483876,0.691440814,1.492336949,2.321939273,0.248163988,2.642162052,0.537795101
2016:02,2.065813596,2.470558533,2.620312514,2.754666477,3.035137,0.537795101,0.691440814,1.492336949,2.321939273,0.248163988,1.218234151
2016:03,2.593243187,2.433907634,2.268817362,2.906998873,2.745042066,1.218234151,0.537795101,0.691440814,1.492336949,2.321939273,2.901437038
2016:04,2.164661388,2.330062441,2.335162218,2.518629139,2.42881334,2.901437038,1.218234151,0.537795101,0.691440814,1.492336949,1.8734854
