,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1990:01,5.4,5.5,5.4,5.6,5.65,5.423591845,5.621093571,6.220837437,6.042800724,6.595096905,5.3,5.233333333,5.266666667,5.166666667,5.333333333,5.423591845,5.6627648,6.174082762,6.141597652,6.553113914,5.295961369,5.693813782,5.878940503,5.89269118,6.639972727,5.266666667,5.266666667,5.3,5.266666667,5.3
1990:02,5.3,5.5,5.6,5.5,5.65,5.323659022,5.618083876,5.916944705,6.562586647,6.34991196,5.266666667,5.3,5.233333333,5.266666667,5.166666667,5.323659022,5.674678792,5.962262401,6.517208251,6.474435828,5.392380862,5.488920659,6.083888005,6.178318303,6.168374769,5.3,5.3,5.333333333,5.3,5.333333333
1990:03,5.5,5.4,5.55,5.6,5.4,5.3971371,5.426229933,5.844100892,6.220509782,6.858735503,5.3,5.266666667,5.3,5.233333333,5.266666667,5.3971371,5.494693399,6.004543766,6.307951354,6.788317607,5.500208064,5.507415003,5.792059438,6.377674247,6.464318304,5.6,5.6,5.566666667,5.566666667,5.7
1990:04,5.85,5.6,5.4,5.55,5.6,5.863313592,5.526056612,5.547456274,6.073806941,6.503124372,5.6,5.3,5.266666667,5.3,5.233333333,5.863313592,5.511932297,5.773890144,6.302126205,6.628871172,5.777022977,5.633195933,5.711707878,6.125839912,6.686707277,5.9,5.9,5.966666667,6,6.133333333
1991:01,6.3,6.3,5.9,5.4,5.55,6.152419628,6.088879063,5.666101591,5.671655102,6.288900157,5.9,5.6,5.3,5.266666667,5.3,6.152419628,6.074566222,5.719487604,6.103990764,6.603676428,6.312595261,6.070020181,5.73628055,5.989683859,6.424393796,6.5,6.5,6.466666667,6.533333333,6.6
1991:02,6.8,6.7,6.45,5.9,5.5,6.933043473,6.359341859,6.278033684,5.804494264,5.790155531,6.5,5.9,5.6,5.3,5.266666667,6.933043473,6.371134231,6.153604022,5.994139429,6.380544269,6.782076892,6.692069023,6.101733364,5.933022321,6.326871834,6.833333333,6.833333333,6.766666667,6.733333333,6.833333333
1991:03,6.9,6.93,6.9,6.7,5.9,7.068522217,7.230792504,6.524707127,6.433589384,5.933829404,6.833333333,6.5,5.9,5.6,5.3,7.068522217,7.232862731,6.501425331,6.324958355,6.284462117,6.876084488,7.119652176,6.984934847,6.126274134,6.153860353,6.766666667,6.8,6.766666667,6.733333333,6.866666667
1991:04,6.9,6.8,6.8,6.8,6.55,6.725619105,7.223839474,7.421874083,6.653451665,6.559157992,6.766666667,6.833333333,6.5,5.9,5.6,6.725619105,7.241760266,7.425834647,6.473714397,6.527834219,6.845456642,6.975155892,7.265414578,6.939262349,6.340483353,6.966666667,6.966666667,6.966666667,6.966666667,7.1
1992:01,7.1,6.8,6.6,6.7,6.7,7.076299572,6.704119316,7.316229263,7.531296617,6.750885819,6.966666667,6.766666667,6.833333333,6.5,5.9,7.076299572,6.717927062,7.336666282,7.399966677,6.578934918,7.276791673,6.856392629,7.032932164,7.246643833,6.7235868,7.233333333,7.233333333,7.233333333,7.266666667,7.366666667
1992:02,7.2,7.075,6.8,6.5,6.6,7.403969799,7.140629749,6.696959267,7.360763764,7.580263703,7.233333333,6.966666667,6.766666667,6.833333333,6.5,7.403969799,7.143123491,6.741623652,7.355200811,7.162182465,7.28031214,7.522325672,6.842422565,7.078050879,7.068489396,7.5,7.5,7.466666667,7.5,7.6
1992:03,7.6,7.1,6.9,6.7,6.4,7.6596998,7.499008491,7.170305406,6.699813789,7.370383405,7.5,7.233333333,6.966666667,6.766666667,6.833333333,7.6596998,7.497420237,7.193551696,6.754546545,7.274197812,7.871170726,7.419827518,7.623635448,6.842957024,7.059040928,7.6,7.566666667,7.5,7.5,7.633333333
1992:04,7.5,7.5,6.9,6.7,6.5,7.638541951,7.737381823,7.536762087,7.174613853,6.70920193,7.6,7.5,7.233333333,6.966666667,6.766666667,7.638541951,7.743125083,7.526315879,7.21061462,6.776472659,7.390715966,8.214327909,7.596354135,7.392213407,6.862051544,7.333333333,7.333333333,7.3,7.3,7.366666667
1993:01,7.2,7.4,7.3,6.8,6.6,7.158447811,7.632960387,7.754660861,7.533049826,7.161371428,7.333333333,7.6,7.5,7.233333333,6.966666667,7.158447811,7.639492239,7.747674381,7.515348465,7.190965753,7.082840634,7.202217927,8.336209124,7.224604114,7.351875311,7.033333333,7.033333333,7.033333333,7.033333333,7.133333333
1993:02,7,7,7.2,7.1,6.6,6.832832186,7.032741786,7.597556749,7.7296717,7.501082344,7.033333333,7.333333333,7.6,7.5,7.233333333,6.832832186,7.025905451,7.602139204,7.68122555,7.464236524,7.045200917,6.911409351,7.043475554,8.229995519,7.185543266,6.966666667,6.966666667,6.933333333,6.933333333,7.066666667
